tconst,averageRating,numVotes
tt10014654,6.9,10
tt10014658,6.5,8
tt10014678,9.1,80
tt10014704,7.9,61
tt10014720,6.9,7
tt10014726,8.7,20
tt10014736,6.5,6
tt10014742,6.6,5
tt10014778,6.7,9
tt10014806,6.2,9
tt10014878,5.2,6
tt10014886,9.6,11
tt10015040,6.4,324
tt10015176,8.8,9
tt10015204,8.4,14
tt10015246,6.8,9
tt10015248,5.6,8
tt10015294,7.4,36
tt10015318,7.6,8
tt10015328,4.8,119
tt10015346,6.5,100
tt10015388,6.4,15
tt10015392,8.9,59
tt10015418,6.2,9
tt10015432,7.6,28
tt10015504,6.6,5
tt10015546,7.5,13
tt10015596,9.1,21
tt10015644,7.5,20
tt10015694,8.9,15
tt10015696,5.4,12
tt10015746,8.6,21
tt10015750,6.0,5
tt10015794,7.5,48
tt10015812,6.7,97
tt10015822,7.2,5
tt10015900,6.7,11
tt10016330,7.8,5
tt10016342,7.0,22
tt10016348,5.4,7
tt10016388,7.6,10
tt10016436,7.0,20
tt10016450,8.6,5
tt10016470,10.0,16
tt10016502,5.2,8
tt10016510,10.0,16
tt10016520,9.9,15
tt10016532,6.4,270
tt10016580,7.7,6
tt10016612,8.1,8
tt10016646,7.4,32
tt10016704,7.0,194
tt10016732,7.2,12
tt10016814,7.5,265
tt10016838,6.7,11
tt10016840,7.6,10
tt10016864,5.9,16
tt10016866,5.9,16
tt10016872,5.8,16
tt10016878,6.1,15
tt10016880,6.2,18
tt10016882,6.2,17
tt10016884,5.9,16
tt10016886,6.1,17
tt10017106,8.1,8
tt10017112,8.0,8
tt10017138,8.1,8
tt10017164,8.4,9
tt10017186,7.9,8
tt10017228,8.3,9
tt10017450,8.0,6
tt10017454,6.8,51
tt10017566,7.5,82
tt10017680,5.8,392
tt10017956,7.0,242
tt10018072,7.4,231
tt10018074,7.0,245
tt10018078,7.5,223
tt10018080,7.0,209
tt10018086,7.1,205
tt10018088,6.9,190
tt10018092,7.1,190
tt10018386,7.8,11
tt10018436,6.4,64
tt10018730,5.2,13
tt10019004,7.4,39
tt10019042,4.4,9
tt10019402,7.8,84
tt10019564,8.0,5
tt10020008,6.4,7
tt10020218,7.8,5
tt10020552,6.1,7
tt10020618,6.9,7
tt10020662,6.0,7
tt10020682,6.8,10
tt10020698,7.8,26
tt10020702,5.9,7
tt10020708,7.6,22
tt10020722,8.1,34
tt10020788,1.0,6
tt10020860,4.3,7
tt10021048,6.9,7
tt10021106,6.8,69
tt10021160,8.3,217
tt10021200,8.5,208
tt10021208,8.3,192
tt10021218,8.3,220
tt10021526,4.8,5
tt10021584,7.2,10
tt10021622,8.6,8
tt10021698,7.2,6
tt10021720,9.7,10
tt10021738,7.4,394
tt10021782,7.7,10
tt10021784,7.4,9
tt10021790,6.8,5
tt10021804,6.3,10
tt10021856,7.4,5
tt10021858,6.2,107
tt10021864,7.3,9
tt10021870,8.2,5
tt10021892,9.0,5
tt10022044,5.3,23
tt10022102,8.0,5
tt10022158,7.7,87
tt10022234,9.3,7
tt10022384,5.6,166
tt10022442,8.4,7
tt10022444,8.4,7
tt10022446,8.6,8
tt10022448,8.6,7
tt10022724,8.2,14
tt10022848,9.5,97
tt10022882,5.5,11
tt10022886,7.9,12
tt10022906,6.1,24
tt10022916,7.1,98
tt10022980,6.6,5
tt10022986,8.2,13
tt10023080,7.6,134
tt10023168,7.2,6
tt10023174,6.0,73
tt10023178,2.6,2319
tt10023192,9.8,6
tt10023206,7.2,6
tt10023220,8.0,11
tt10023254,8.1,9
tt10023276,7.7,6
tt10023278,7.8,54
tt10023306,5.4,78
tt10023374,9.9,9125
tt10023376,6.4,30
tt10023380,6.7,20
tt10023382,7.2,19
tt10023386,7.2,18
tt10023390,7.2,18
tt10023394,6.8,9
tt10023452,9.2,4207
tt10023502,8.3,6
tt10023512,8.2,6
tt10023542,6.4,174
tt10023568,6.7,213
tt10023578,6.2,183
tt10023702,7.7,35
